BASE_YM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,BRDCST_TY_NM,GENRE_LCLAS_NM,GENRE_MLSFC_NM,HLDY_AT,AVRG_WTCHNG_CO,AVRG_WTCHNG_TIME_CO,DAWN_AVRG_WTCHNG_TIME_CO,AM_AVRG_WTCHNG_TIME_CO,PM_AVRG_WTCHNG_TIME_CO,EVENING_AVRG_WTCHNG_TIME_CO,AVRG_VOD_PRCHS_PRICE
202011,경북,칠곡군,지천면,LINEAR_TV,영화,멜로,Y,2,17,8,29,2,,
202011,경북,안동시,서구동,VOD,키즈,노래율동,Y,64,117,,69,52,76,
202011,충북,청주시 서원구,분평동,LINEAR_TV,스포츠,야구,Y,5,40,24,15,34,16,
202011,전북,군산시,나운2동,LINEAR_TV,스포츠,정보,Y,4,24,20,5,19,10,
202011,부산,부산진구,초읍동,LINEAR_TV,라이프,요리,Y,2,11,11,5,10,7,
202011,부산,서구,초장동,VOD,영화,드라마,N,3,209,255,191,95,89,
202011,대구,서구,평리6동,LINEAR_TV,스포츠,배구,Y,13,80,9,29,69,38,
202011,강원,동해시,천곡동,LINEAR_TV,홈쇼핑,교육,Y,2,2,0,,,2,
202011,서울,종로구,사직동,LINEAR_TV,홈쇼핑,교육,N,2,3,0,8,0,1,
202011,서울,강남구,역삼1동,LINEAR_TV,영화,코미디,Y,5,40,20,19,27,23,
202011,서울,종로구,가회동,LINEAR_TV,스포츠,스포츠,Y,2,11,0,1,0,24,
202011,인천,미추홀구,주안2동,VOD,영화,시리즈,N,25,240,214,164,124,94,
202011,인천,남동구,장수서창동,LINEAR_TV,다큐,동물,Y,3,22,3,6,23,9,
202011,경기,수원시 영통구,매탄1동,LINEAR_TV,시사/교양,의학/건강,N,4,25,11,14,13,17,
202011,경기,용인시 기흥구,구갈동,LINEAR_TV,공연/음악,기타,Y,7,64,13,15,25,45,
202011,경기,광명시,광명4동,LINEAR_TV,홈쇼핑,보석/시계,N,2,2,,3,1,2,
202011,서울,중랑구,망우3동,VOD,키즈,TV만화,N,44,302,122,163,110,246,500
202011,경기,군포시,산본2동,LINEAR_TV,영화,SF/환타지,Y,7,45,17,15,26,26,
202011,서울,강남구,삼성1동,LINEAR_TV,TV 애니메이션,액션/모험,N,11,103,20,134,43,59,
202011,울산,중구,병영1동,VOD,영화,스릴러,Y,2,102,93,74,86,84,
202011,경남,진주시,집현면,LINEAR_TV,연예/오락,연예정보,N,5,38,13,22,18,24,
202011,경북,경산시,중앙동,LINEAR_TV,키즈(어린이),학습,Y,7,48,32,19,37,78,
202011,인천,남동구,만수4동,LINEAR_TV,공연/음악,콘서트,N,2,10,11,5,9,6,
202011,서울,용산구,효창동,LINEAR_TV,TV 애니메이션,추리/미스터리,Y,6,30,18,12,12,28,
202011,서울,강북구,번2동,VOD,방송,기타,N,32,17,13,,24,0,
202011,경기,고양시 일산동구,정발산동,LINEAR_TV,정보,부동산/재테크,Y,3,15,16,13,10,16,
202011,경기,파주시,교하동,LINEAR_TV,iTV등 기타,기타,N,31,355,224,255,164,166,
202011,부산,남구,대연6동,VOD,키즈,외국어,Y,11,68,2,47,87,27,
202011,인천,강화군,강화읍,LINEAR_TV,시사/교양,문화/예술,N,2,12,10,8,12,7,
202011,광주,광산구,첨단1동,VOD,영화,SF/판타지,N,3,183,,143,140,52,
202011,대구,북구,무태조야동,LINEAR_TV,영화,단편,N,2,4,,,,4,
202011,충북,청주시 서원구,성화.개신.죽림동,VOD,해외시리즈,중국,N,19,707,407,313,385,356,
202011,부산,부산진구,연지동,LINEAR_TV,다큐,동물,N,3,16,21,11,25,11,
202011,경기,양주시,광적면,LINEAR_TV,공연/음악,기타,N,8,44,11,15,30,28,
202011,부산,북구,구포1동,LINEAR_TV,홈쇼핑,인테리어,Y,2,3,1,4,2,3,
202011,경북,칠곡군,기산면,VOD,키즈,TV만화,Y,47,407,162,162,155,239,
202011,경기,안성시,원곡면,LINEAR_TV,라이프,미용/패션,N,5,22,37,12,2,14,
202011,경기,평택시,서정동,LINEAR_TV,홈쇼핑,식품,Y,6,12,6,8,5,4,
202011,서울,강동구,명일1동,VOD,키즈,책,N,6,56,,32,61,36,
202011,경기,시흥시,매화동,LINEAR_TV,정보,기타,N,2,16,11,18,11,7,
202011,경북,경주시,현곡면,VOD,애니,코미디,N,5,94,163,88,57,70,
202011,전남,곡성군,옥과면,LINEAR_TV,라이프,여행,Y,3,20,2,6,12,16,
202011,인천,미추홀구,주안7동,LINEAR_TV,교육,방송대학,N,3,21,75,0,0,23,
202011,대전,대덕구,송촌동,LINEAR_TV,홈쇼핑,뷰티,N,7,14,6,8,6,6,
202011,대전,유성구,신성동,LINEAR_TV,TV 애니메이션,액션/모험,Y,9,63,22,35,42,36,
202011,대구,북구,노원동,LINEAR_TV,홈쇼핑,기타,N,12,26,7,12,9,15,
202011,서울,송파구,오륜동,LINEAR_TV,영화,애니메이션,N,3,19,0,9,18,15,
202011,충남,천안시 서북구,성거읍,LINEAR_TV,스포츠,종합스포츠,Y,3,18,3,10,15,17,
202011,충남,금산군,제원면,LINEAR_TV,공연/음악,기타,Y,4,42,,12,43,33,
202011,서울,관악구,미성동,LINEAR_TV,공연/음악,클래식,N,4,26,7,21,7,27,
202011,대전,동구,가양1동,LINEAR_TV,TV 애니메이션,기타,N,6,44,40,13,27,52,
202011,전남,담양군,고서면,LINEAR_TV,스포츠,정보,N,7,47,50,1,39,13,
202011,서울,서대문구,북아현동,LINEAR_TV,스포츠,정보,N,4,21,16,6,20,10,
202011,충북,충주시,지현동,VOD,영화,시리즈,Y,5,41,28,56,24,20,
202011,인천,미추홀구,용현5동,VOD,영화,기타,Y,36,25,42,2,28,26,
202011,경북,김천시,대곡동,LINEAR_TV,라이프,요리,Y,2,10,0,6,10,9,
202011,강원,화천군,상서면,LINEAR_TV,영화,다큐멘터리,Y,2,19,2,,21,,
202011,경기,부천시,심곡동,LINEAR_TV,홈쇼핑,식품,N,12,27,9,10,14,10,
202011,부산,중구,대청동,LINEAR_TV,TV 애니메이션,명랑/코믹,Y,14,104,12,46,76,72,
202011,경기,포천시,일동면,LINEAR_TV,홈쇼핑,수산물,Y,2,5,6,0,4,4,
202011,경기,동두천시,보산동,LINEAR_TV,스포츠,스포츠,Y,2,3,3,5,0,1,
202011,인천,중구,용유동,LINEAR_TV,영화,액션/어드벤쳐,N,11,100,44,11,42,79,
202011,경북,김천시,어모면,LINEAR_TV,시사/교양,의학/건강,Y,4,19,21,14,12,8,
202011,경기,연천군,청산면,LINEAR_TV,영화,액션/어드벤쳐,Y,24,240,73,57,105,115,
202011,인천,미추홀구,관교동,LINEAR_TV,라이프,요리,N,3,13,8,13,18,4,
202011,서울,성북구,보문동,LINEAR_TV,영화,역사,N,3,20,20,9,18,9,
202011,경북,포항시 남구,연일읍,VOD,애니,시리즈,N,13,274,158,143,214,174,
202011,서울,관악구,보라매동,LINEAR_TV,TV 애니메이션,SF/메카,Y,3,20,9,11,22,20,
202011,경남,거제시,둔덕면,LINEAR_TV,TV 드라마,TV 드라마,N,73,960,61,184,442,669,
202011,경기,시흥시,정왕2동,LINEAR_TV,시사/교양,의학/건강,Y,3,15,9,13,4,8,
202011,서울,영등포구,신길1동,LINEAR_TV,영화,드라마,N,17,108,54,34,49,46,
202011,경기,수원시 팔달구,지동,LINEAR_TV,키즈(어린이),학습,Y,8,49,2,21,67,69,
202011,경기,성남시 분당구,서현1동,LINEAR_TV,게임,오락,Y,3,12,14,6,7,8,
202011,충남,천안시 동남구,북면,LINEAR_TV,영화,영화,N,3,16,19,,11,11,
202011,경기,광명시,하안1동,LINEAR_TV,공연/음악,콘서트,Y,3,15,11,1,10,12,
202011,경기,시흥시,정왕1동,LINEAR_TV,시사/교양,의학/건강,N,4,21,11,11,12,14,
202011,부산,강서구,명지2동,LINEAR_TV,교육,중등,Y,2,3,,9,1,3,
202011,광주,광산구,월곡2동,LINEAR_TV,TV 드라마,시트콤,N,3,16,30,1,,7,
202011,서울,동대문구,답십리2동,VOD,영화,시리즈,Y,17,165,171,142,101,88,
202011,광주,광산구,하남동,VOD,애니,SF/판타지,Y,4,76,15,76,46,77,
202011,대구,북구,침산2동,LINEAR_TV,스포츠,격투기,N,4,29,23,14,9,24,
202011,경북,성주군,초전면,LINEAR_TV,TV 애니메이션,호러/공포,N,4,30,,,8,32,
202011,충북,청주시 상당구,용암2동,LINEAR_TV,키즈(어린이),학습,N,13,99,40,88,38,56,
202011,경기,가평군,청평면,LINEAR_TV,공연/음악,기타,Y,7,76,18,18,36,55,
202011,서울,중랑구,상봉1동,VOD,영화,스릴러,N,3,142,134,98,82,113,
202011,서울,동작구,상도4동,LINEAR_TV,영화,뮤지컬,Y,2,0,0,0,,,
202011,부산,금정구,서2동,LINEAR_TV,홈쇼핑,인테리어,Y,2,3,8,3,0,2,
202011,충남,태안군,태안읍,VOD,해외시리즈,미국,N,10,381,299,254,243,197,
202011,대구,서구,평리4동,VOD,애니,코미디,N,7,118,24,153,66,107,
202011,경기,부천시,소사본동,LINEAR_TV,라이프,리빙,Y,2,2,5,1,2,1,
202011,서울,종로구,평창동,LINEAR_TV,스포츠,야구,Y,5,33,15,13,29,15,
202011,경기,수원시 장안구,정자2동,VOD,영화,극장판 애니,N,5,284,168,181,225,168,
202011,대구,동구,신암4동,LINEAR_TV,홈쇼핑,건강/레포츠,N,6,9,5,4,3,6,
202011,경북,영주시,휴천1동,LINEAR_TV,TV 애니메이션,SF/메카,N,3,15,,12,15,,
202011,경기,의정부시,호원1동,LINEAR_TV,스포츠,스포츠,Y,3,7,2,7,1,9,
202011,인천,서구,마전동,LINEAR_TV,홈쇼핑,가정/주방/생활용품,Y,5,8,2,4,4,4,
202011,충북,청주시 청원구,내덕1동,LINEAR_TV,홈쇼핑,식품,N,14,32,9,14,17,11,
202011,서울,강동구,천호3동,LINEAR_TV,시사/교양,문화/예술,Y,2,15,19,5,21,9,
202011,부산,부산진구,개금1동,LINEAR_TV,다큐,동물,Y,3,24,7,9,24,13,
202011,경북,경주시,외동읍,VOD,방송,연예오락,N,12,718,203,326,399,386,
202011,경북,경주시,동천동,LINEAR_TV,스포츠,기타,N,15,106,44,66,48,74,
202011,서울,강북구,번1동,LINEAR_TV,교육,교육,N,3,20,19,18,8,13,
202011,서울,마포구,공덕동,LINEAR_TV,시사/교양,뉴스/시사,Y,38,373,48,161,113,139,
202011,전남,여수시,월호동,LINEAR_TV,스포츠,격투기,Y,5,33,11,19,25,19,
202011,서울,관악구,난곡동,LINEAR_TV,홈쇼핑,가전,Y,4,7,3,2,5,4,
202011,경북,문경시,점촌2동,LINEAR_TV,교육,외국어강좌,N,3,12,9,9,18,2,
